65772,"Weinbrecht","Donna","Female",19650423,\N
65785,"Weinspach","Gabriele","Female",19680401,\N
65787,"Weinstock","Lotus","Female",19430129,19970831
65793,"Weinzettl","Monica","Female",19671103,\N
65801,"Weis","Heidelinde","Female",19400917,\N
65805,"Weisberg","Emily","Female",19780714,\N
65816,"Weisman","Marguerite","Female",19870225,\N
65825,"Weiss","Roberta","Female",19580905,\N
65829,"Weisser","Katrin","Female",19750503,\N
65831,"Weissgerber","Antje","Female",19220517,\N
65838,"Weisz","Rachel","Female",19710307,\N
65841,"Weivers","Margreth","Female",19260724,\N
65848,"Welch","Denise","Female",19580522,\N
65852,"Welch","Lisa","Female",19601111,\N
65855,"Welch","Raquel","Female",19400905,\N
65857,"Welch","Tahnee","Female",19611226,\N
65861,"Weld","Tuesday","Female",19430827,\N
65863,"Weldon","Fay","Female",19310922,\N
65876,"Wellenbrink","Susanna","Female",19741123,\N
65881,"Welles","Anne","Female",19650530,\N
65885,"Welles","Terri","Female",19561121,\N
65886,"Welles","Tori","Female",19670617,\N
65894,"Wells","Audrey","Female",19600429,\N
65899,"Wells","Dawn","Female",19381018,\N
65900,"Wells","Deborah","Female",19701231,\N
65910,"Wells","Kitty","Female",19190830,\N
65926,"Welsh","Sian","Female",19810813,\N
65928,"Welty","Eudora","Female",19090413,20010723
65933,"Wendel","Elmarie","Female",19391123,\N
65934,"Wendel","Lara","Female",19650329,\N
65966,"Wenzel","Tanja","Female",19780727,\N
65971,"Werbrouck","Martine","Female",19520519,\N
65978,"Werner","Anita","Female",19780328,\N
65979,"Werner","Emmy","Female",19380913,\N
65980,"Werner","Ilse","Female",19210711,\N
65986,"Werner","Susana","Female",19770720,\N
65988,"Werner","Ursula","Female",19430928,\N
66008,"Wesley","Cynthia","Female",19490430,19630915
66021,"Wesson","Tina","Female",19601226,\N
66026,"West","Chandra","Female",19701231,\N
66035,"West","Kimber","Female",19740523,\N
66038,"West","Madeleine","Female",19790726,\N
66040,"West","Mae","Female",18930817,19801122
66042,"West","Michaela","Female",19951124,\N
66049,"West","Sharna","Female",19660430,\N
66056,"Westbrook","Danniella","Female",19731105,\N
66058,"Westbrook","Karimah","Female",19781006,\N
66060,"Westcott","Carrie","Female",19691212,\N
66069,"Westergren","Meg","Female",19320516,\N
66073,"Westermann","Christine","Female",19481202,\N
66076,"Westersund","Laila","Female",19420327,\N
66079,"Westfeldt","Jennifer","Female",19710202,\N
66083,"Westin","Bojan","Female",19260905,\N
66089,"Westman","Johanna","Female",19690811,\N
66094,"Westmore","McKenzie","Female",19770426,\N
66105,"Weston","Kim","Female",19391230,\N
66113,"Westwood","Vivienne","Female",19410408,\N
66114,"Wetherell","Virginia","Female",19430509,\N
66119,"Wettig","Patricia","Female",19511204,\N
66123,"Wexler","Eleonora","Female",19740421,\N
66133,"Weymouth","Tina","Female",19501122,\N
66143,"Whalley","Joanne","Female",19640825,\N
66148,"Wharton","Anne","Female",19731030,\N
66153,"Whatley","Saroya","Female",19890720,\N
66159,"Wheaton","Amy","Female",19780512,\N
66168,"Wheelan","Rhonda","Female",19570619,\N
66171,"Wheeler","Ellen","Female",19611009,\N
66174,"Wheeler","Maggie","Female",19610807,\N
66175,"Wheeler","Margaret","Female",19060618,19990211
66176,"Wheeler","Natalie","Female",19931015,\N
66178,"Wheeler","Stephanie","Female",19911115,\N
66184,"Whelan","Jill","Female",19660929,\N
66185,"Whelan","Julia","Female",19850508,\N
66188,"Whelchel","Lisa","Female",19630529,\N
66191,"Whiley","Jo","Female",19650704,\N
66195,"Whirry","Shannon","Female",19641107,\N
66203,"Whitaker","Patricia","Female",19801212,\N
66217,"White","Carol","Female",19420401,19910916
66219,"White","Chrissie","Female",18950523,19890818
66231,"White","Lari","Female",19650513,\N
66234,"White","Lillias","Female",19510721,\N
66239,"White","Pearl","Female",18890304,19380804
66249,"White","Thelma","Female",19101204,\N
66250,"White","Vanna","Female",19570218,\N
66255,"Whited","Renita","Female",19690620,\N
66263,"Whitehouse","Mary","Female",19100613,20011123
66266,"Whitelaw","Billie","Female",19320606,\N
66267,"Whiteley","Arkie","Female",19651106,20011219
66270,"Whiteley","Thelma","Female",19340929,20000109
66274,"Whites","Zara","Female",19681108,\N
66279,"Whitfield","June","Female",19251111,\N
66280,"Whitfield","Lynn","Female",19530506,\N
66286,"Whiting","Margaret","Female",19240722,\N
66300,"Whitman","Kari","Female",19690621,\N
66301,"Whitman","Mae","Female",19880609,\N
66315,"Whitney","Luz","Female",19771206,\N
66329,"Whitton","Margaret","Female",19501130,\N
66333,"Whoppers","Wendy","Female",19700813,\N
66357,"Wickes","Mary","Female",19160613,19951022
66358,"Wickham","Saskia","Female",19670114,\N
66367,"Wickstead","Susie","Female",19720909,\N
66369,"Widdecombe","Ann","Female",19471031,\N
66376,"Widdoes","Kathleen","Female",19390321,\N
66387,"Widmann","Claudia","Female",19640325,\N
66397,"Wiedemann","Elisabeth","Female",19260408,\N
66402,"Wiedlin","Jane","Female",19580520,\N
66403,"Wiegandt","Alexa","Female",19620210,\N
66419,"Wiener","Elisabeth","Female",19461123,\N
66433,"Wiest","Dianne","Female",19480328,\N
66437,"Wieth","Julie","Female",19601113,\N
66447,"Wiggins","Rosie","Female",19870802,\N
66450,"Wiglesworth","Kelly","Female",19770624,\N
66451,"Wigmore","Jennifer","Female",19671114,\N
66455,"Wijffels","Veerle","Female",19440816,\N
66456,"Wijnants","Nathalie","Female",19760116,\N
66461,"Wikholm","Claire","Female",19441010,\N
66485,"Wilcox","Lisa","Female",19640427,\N
66486,"Wilcox","Paula","Female",19491213,\N
66488,"Wilcox","Sophie","Female",19750102,\N
66489,"Wilcox-Smith","Tamara","Female",19400304,19980130
