37146,"Lipstadt","Aaron",19521112,\N
45878,"Norris","Aaron",19511123,\N
48340,"Pearl","Aaron",19720511,\N
67315,"Woolfolk","Aaron",19690117,\N
31541,"Karpykov","Abai",19550206,\N
32580,"Kiarostami","Abbas",19400622,\N
3141,"Bahloul","Abdelkrim",19501025,\N
57763,"Sissako","Abderrahmane",19611013,\N
57339,"Sidran","Abdulah",19441002,\N
36610,"Levitow","Abe",19220702,19750508
19615,"Ferrara","Abel",19520711,\N
7242,"Bornhak","Achim",19690103,\N
25824,"Happel","Achim",19720918,\N
4261,"Bates","Aclan",19660625,\N
45162,"Neretniece","Ada",19240602,\N
2093,"Arkin","Adam",19570819,\N
5563,"Bernstein","Adam",19600507,\N
8516,"Brooks","Adam",19560903,\N
9512,"Buxton","Adam",19690607,\N
10261,"Carl","Adam",19710127,\N
23414,"Goldberg","Adam",19701025,\N
28604,"Howard","Adam",19621117,\N
29795,"Jack","Adam",19780326,\N
45604,"Nimoy","Adam",19560809,\N
53016,"Rodin","Adam",19760331,\N
55358,"Schell","Adam",19640129,\N
32264,"Kenovic","Ademir",19500914,\N
2082,"Aristarain","Adolfo",19431019,\N
2293,"Arrieta","Adolfo",19420828,\N
23658,"Gopalakrishnan","Adoor",19410703,\N
17835,"Edmondson","Adrian",19570124,\N
21470,"Fulle","Adrian",19720425,\N
24419,"Grenier","Adrian",19760710,\N
38318,"Lyne","Adrian",19410304,\N
45704,"Noble","Adrian",19500719,\N
47992,"Pasdar","Adrian",19670430,\N
48148,"Paul","Adrian",19590529,\N
10997,"Celentano","Adriano",19380106,\N
5866,"Biddle","Adrienne",19710217,\N
12097,"Clarkson","Adrienne",19390210,\N
28085,"Holland","Agnieszka",19481128,\N
68626,"Zyablikova","Aida",19400316,\N
21721,"Gaizka","Aitor",19770323,\N
21102,"Freimanis","Aivars",19360208,\N
57106,"Shiota","Akihiko",19610911,\N
34530,"Kurosawa","Akira",19100323,19980906
62337,"Toriyama","Akira",19550405,\N
272,"Adamson","Al",19290725,19950802
47351,"Pacino","Al",19400425,\N
65568,"Waxman","Al",19350302,20010118
5468,"Berliner","Alain",19630221,\N
10907,"Cavalier","Alain",19310914,\N
11088,"Chabat","Alain",19581124,\N
13170,"Corneau","Alain",19430807,\N
14100,"Cuny","Alain",19080712,19940516
30379,"Jessua","Alain",19320116,\N
51985,"Resnais","Alain",19220603,\N
52737,"Robbe-Grillet","Alain",19220818,\N
58475,"Soral","Alain",19581002,\N
61018,"Tanner","Alain",19291206,\N
745,"Alda","Alan",19360128,\N
2094,"Arkin","Alan",19340326,\N
2761,"Autry","Alan",19520731,\N
2855,"Ayckbourn","Alan",19390412,\N
5469,"Berliner","Alan",19630221,\N
8203,"Bridges","Alan",19270928,\N
14049,"Cumming","Alan",19650127,\N
47810,"Parker","Alan",19440214,\N
50909,"Rafkin","Alan",19280723,20010806
52351,"Rickman","Alan",19460221,\N
53333,"Root","Alan",19370512,\N
53862,"Rudolph","Alan",19431218,\N
46450,"Obomsawin","Alanis",19320831,\N
3516,"Band","Albert",19240507,20020614
8517,"Brooks","Albert",19470722,\N
