1,"Fox Film Corporation"
2,"Warner Bros."
3,"The Archers"
4,"Panitalia"
5,"Universal International Pictures (UI or U-I)"
6,"Paramount Pictures"
7,"Paritalia"
8,"Filmgroup"
9,"20th Century Fox"
10,"Hal Wallis Productions"
11,"Metro-Goldwyn-Mayer (MGM)"
12,"Atlas"
13,"Columbia Pictures Corporation"
14,"Joel Productions"
15,"American International Pictures (AIP)"
16,"Brotherhood Company"
17,"Oudine Productions"
18,"Claude Productions"
19,"Sports of the Century"
20,"Belafonte Enterprises"
21,"Love Story Company"
22,"Gramercy Pictures"
23,"Faraway Productions"
24,"Jack Rollins & Charles H. Joffe Productions"
25,"Batjac Productions"
26,"BBS Productions"
27,"Universal Pictures"
28,"Hemdale"
29,"The Corman Company"
30,"Norlan Productions"
31,"Cinema Center 100 Productions"
32,"Dreamland"
33,"Concord Productions Inc."
34,"Zem Produtora Cinematografica"
35,"A.D. Creation"
36,"Film and General Productions"
37,"WW Entertainment"
38,"Lucasfilm Ltd."
39,"Argos Films"
40,"Alexander Salkind"
41,"Zoetrope Studios"
42,"Century Associates"
43,"Amblin Entertainment"
44,"CineFlics"
45,"A-Train Films"
46,"Embassy International Pictures"
47,"Globe Films"
48,"Beyond Infinity"
49,"Ditirambo Films"
50,"Akira Committee Company, Ltd."
51,"SC Entertainment"
52,"Cristaldifilm"
53,"Cinecittà [it]"
54,"American Playhouse"
55,"Troma Films"
56,"Allied Cine Group Pic II"
57,"Renaissance Films"
58,"Timothy Burrill Productions Limited"
59,"L.A. Dreams Productions"
60,"Concorde-New Horizons"
61,"Media Asia"
62,"Executive Cine TV"
63,"Fidelity Productions"
64,"Azimuth"
65,"Burrill Productions"
66,"The Disney Channel"
67,"Lamb Bear Entertainment"
68,"Boy Toy Productions"
69,"Star Entertainment Group Inc."
70,"Citadel Pictures"
71,"Airtight Filmworks"
72,"Covert Productions"
73,"Zenith"
74,"Milestone Pictures"
75,"Connexion Film Productions"
76,"Second Son Publications"
77,"Distant Horizons"
78,"Kaijyu Theater"
79,"China Entertainment Films"
80,"Lukas B. Productions"
81,"Maverick Picture Company"
82,"Metrodome Films"
83,"Portman Productions"
84,"August Fire Productions, Inc."
85,"Miramax Films"
86,"Lakeheart"
87,"First Choice"
88,"Citadel"
89,"Cinemabeam"
90,"Long Shong Pictures"
91,"Shouchiku Co."
92,"Nu Image"
93,"Kaga Bay"
94,"Cinergi Productions"
