1,"Doorman"
2,"Romachenko"
3,"Captain"
4,"Alley Hood #1"
5,"Kingsley Ofusu"
6,"Ion"
7,"Emmanuel"
8,"Vlachos"
9,"Skinhead #1"
10,"Laurie Petler"
11,"Peggy Doozer"
12,"Kid #2"
13,"Jerry"
14,"Freddie"
15,"Ramona"
16,"Interviewee"
17,"Marguerite"
18,"Himself"
19,"Himself"
20,"Herself"
21,"Vladek Vidov"
22,"Himself"
23,"Theo"
24,"Tom Turner"
25,"Jemi"
26,"Webster"
27,"Judge Kits Van Heynigan"
28,"Preston Sweene"
29,"Mom Turner"
30,"Federal Prosecutor"
31,"State D.A."
32,"Rebecca Frazen"
33,"Herself"
34,"Joey McKinney"
35,"Herself"
36,"Gloria McKinney"
37,"Normandie Arms Tenant"
38,"Handsome"
39,"Homeless Trumpeter"
40,"Petting Zoo Kid"
41,"Camerawoman"
42,"Melissa Rose"
43,"Rhonda"
44,"Charlie"
45,"Jack Dante"
46,"John Carpenter"
47,"Junior Executive"
48,"Weyland"
49,"Dead Diner"
50,"Burke Bennett"
51,"Tara"
52,"Merv Green"
53,"Sonny Gordon"
54,"Dancing Girl with Rainbow Randolph"
55,"Skip Kleinman"
56,"Nora Wells"
57,"Rhinette"
57,"Krinkle Kid #3"
58,"Smoochy Fan"
59,"Sheldon Mopes"
59,"Smoochy the Rhino"
60,"Network Chaimman"
61,"Stagehand"
62,"Buggy Ding Dong"
63,"Marion Frank Stokes"
64,"Princess"
65,"Ben Franks"
66,"'Rainbow' Randolph Smiley"
67,"Ryan"
68,"Karen"
69,"Morcho"
70,"Wayland's Father"
71,"Mrs. Kennesaw"
72,"Detective Phillip Braxton"
73,"Detective Edward Kennesaw"
74,"James Walter Wayland"
75,"Warren"
76,"Mook"
77,"Chelsea Kennesaw"
78,"Mary Kennesaw"
79,"Harry Block"
80,"Joan"
81,"Larry"
82,"Lucy"
83,"Professor Aranha"
84,"Doris"
85,"Woman in Elevator"
85,"Fay"
86,"Professor Abbott"
87,"Student #2"
88,"Elsie"
89,"Beth Kramer"
90,"Jane"
91,"Grace"
92,"Richard"
93,"First Assistant Cameraperson"
94,"Hilly"
95,"Leslie"
96,"Harvey Stern"
97,"Damned Man"
98,"Helen"
99,"Student Mary"
100,"Ken"
101,"Harvey's Doctor"
102,"Harry's father"
103,"Fay"
104,"Policeman at Jail"
105,"Professor Wiggins"
106,"Paul Epstein"
107,"Mel"
108,"Burt"
109,"Professor Clark"
110,"Daniel"
111,"Katya"
112,"Travis"
113,"Diana"
114,"Baxter"
115,"Wellington"
116,"Gunther"
117,"Chester"
118,"Executive"
119,"Worker"
120,"Tom Scoggins"
121,"Charlie"
122,"Brenda Kerns"
123,"Parrot Noises"
124,"Dr. Susan McCallister"
